,State,County,Tract,Number of families,Number of families below poverty line,Vacancy,Coastal Flooding Risk Score,Percent below poverty line,Family median income,Housing Cost,At Risk
187,Florida,Brevard,651.30,757,81.0,395,0.0,10.7,62639.0,1009.0,0
188,Florida,Brevard,651.31,881,64.0,249,94.98716758586797,7.2,66875.0,1030.0,0
189,Florida,Brevard,652.01,1098,96.0,367,86.88909517828864,8.7,68929.0,1002.0,0
190,Florida,Brevard,652.02,1363,125.0,98,95.92912138917708,9.1,72574.0,1043.0,0
191,Florida,Brevard,652.31,1827,68.0,237,95.21924316,3.7,122901.0,1675.0,0
192,Florida,Brevard,652.36,559,16.0,104,0.0,2.7,109063.0,807.0,0
193,Florida,Brevard,652.37,995,28.0,780,84.35264566,2.8,58750.0,504.0,0
194,Florida,Brevard,652.39,991,61.0,528,85.16354502266152,6.1,59462.0,615.0,0
195,Florida,Brevard,652.40,694,55.0,426,92.86572380276309,7.8,52586.0,502.0,0
196,Florida,Brevard,661.01,1210,71.0,589,90.12723202,5.8,140455.0,1285.0,0
197,Florida,Brevard,661.03,745,30.0,469,98.06967728,4.0,99316.0,898.0,0
198,Florida,Brevard,661.04,1592,59.0,834,91.16747665592747,3.7,107132.0,1235.0,0
199,Florida,Brevard,662,798,68.0,224,94.36738928629936,8.4,103500.0,1415.0,0
200,Florida,Brevard,663.01,1580,35.0,649,90.89171626713264,2.2,120789.0,1284.0,0
201,Florida,Brevard,663.02,1462,33.0,454,94.4028832,2.2,112639.0,1632.0,0
202,Florida,Brevard,664,1282,171.0,644,97.3133839349096,13.3,90313.0,1391.0,1
203,Florida,Brevard,665,1144,163.0,343,89.67400207502865,14.2,120000.0,1614.0,0
204,Florida,Brevard,666,1283,25.0,73,96.22672418500518,1.9,119435.0,1532.0,0
205,Florida,Brevard,667,1401,16.0,351,85.37923879211489,1.1,102743.0,1686.0,0
206,Florida,Brevard,668,386,7.0,110,98.43007699,1.8,125521.0,2160.0,0
207,Florida,Brevard,669,1791,70.0,476,92.92852072298368,3.9,110159.0,1468.0,0
208,Florida,Brevard,671,425,46.0,1,98.27991044613118,10.8,79271.0,1804.0,0
209,Florida,Brevard,681.01,1030,40.0,382,97.87582591601594,3.8,100179.0,1535.0,0
210,Florida,Brevard,681.02,639,13.0,369,94.96805547971384,2.0,139750.0,1316.0,0
211,Florida,Brevard,684,511,38.0,743,94.87522524982252,7.4,122386.0,1508.0,0
212,Florida,Brevard,685.01,527,11.0,685,91.01184950581552,1.9,81625.0,1179.0,0
213,Florida,Brevard,685.02,471,14.0,1025,94.27728935728716,2.8,111705.0,1108.0,0
214,Florida,Brevard,686.01,665,50.0,445,86.76623164,7.5,81054.0,948.0,0
215,Florida,Brevard,686.03,375,0.0,153,94.73871020586468,0.0,85550.0,819.0,0
216,Florida,Brevard,686.04,661,10.0,1021,97.22055371,1.5,87596.0,1184.0,0
217,Florida,Brevard,691,1232,42.0,324,96.415114945667,3.4,116522.0,1492.0,0
218,Florida,Brevard,692,639,0.0,291,98.46830120679296,0.0,85066.0,895.0,0
219,Florida,Brevard,693,806,51.0,251,98.98159777207448,6.3,116860.0,1044.0,0
220,Florida,Brevard,694,1943,20.0,386,88.00578823786381,1.0,151821.0,1566.0,0
221,Florida,Brevard,697,555,79.0,245,95.97826680500192,14.1,72461.0,1012.0,1
222,Florida,Brevard,698.01,1069,21.0,185,96.32228471577568,1.9,111375.0,1738.0,0
223,Florida,Brevard,698.02,1122,77.0,555,98.58570414459672,6.8,79750.0,1113.0,0
224,Florida,Brevard,699.03,755,31.0,70,98.32905586195598,4.0,145938.0,1260.0,0
225,Florida,Brevard,699.04,1574,79.0,341,91.69169442,5.0,144063.0,1597.0,0
226,Florida,Brevard,699.07,611,84.0,292,80.71861519,13.6,80972.0,1057.0,1
227,Florida,Brevard,711,1345,41.0,626,0.0,3.0,94302.0,1148.0,0
228,Florida,Brevard,712.01,1975,0.0,381,0.0,0.0,127765.0,1674.0,0
229,Florida,Brevard,712.02,652,0.0,0,0.0,0.0,64083.0,923.0,0
230,Florida,Brevard,712.03,945,0.0,59,0.0,0.0,100024.0,1189.0,0
231,Florida,Brevard,712.05,1908,75.0,123,0.0,3.9,118145.0,1176.0,0
232,Florida,Brevard,713.35,1627,70.0,110,0.0,4.3,93412.0,1499.0,0
233,Florida,Brevard,713.37,2068,42.0,172,0.0,2.0,73387.0,1235.0,0
234,Florida,Brevard,713.39,2025,128.0,260,0.0,6.3,73988.0,1186.0,0
235,Florida,Brevard,713.41,1514,215.0,154,0.0,14.2,72940.0,1104.0,0
236,Florida,Brevard,713.42,882,163.0,116,0.0,18.4,70543.0,1163.0,0
237,Florida,Brevard,713.43,1264,118.0,109,0.0,9.3,84933.0,1264.0,0
238,Florida,Brevard,713.44,1365,104.0,54,0.0,7.6,62127.0,1046.0,0
239,Florida,Brevard,713.45,1821,61.0,0,0.0,3.3,68877.0,1094.0,0
240,Florida,Brevard,713.46,1972,284.0,450,0.0,14.4,95357.0,1111.0,0
241,Florida,Brevard,713.47,1765,472.0,204,0.0,26.7,68086.0,1485.0,0
242,Florida,Brevard,713.48,2325,61.0,34,0.0,2.6,60373.0,1079.0,0
243,Florida,Brevard,713.49,1134,92.0,208,0.0,8.1,65167.0,1221.0,0
244,Florida,Brevard,713.50,1326,87.0,81,0.0,6.5,70341.0,1125.0,0
245,Florida,Brevard,713.51,829,91.0,145,70.35712335499372,10.9,59708.0,848.0,0
246,Florida,Brevard,713.52,1075,28.0,329,0.0,2.6,68908.0,782.0,0
247,Florida,Brevard,713.53,1292,55.0,108,0.0,4.2,141786.0,2022.0,0
248,Florida,Brevard,713.54,2019,0.0,111,95.25200677114616,0.0,126012.0,1609.0,0
249,Florida,Brevard,714.01,395,25.0,278,90.26920766668486,6.1,71150.0,1308.0,0
250,Florida,Brevard,714.02,460,36.0,258,95.59602468191994,7.8,40000.0,1142.0,0
251,Florida,Brevard,715,531,0.0,319,91.31491290340196,0.0,121528.0,1249.0,0
252,Florida,Brevard,716.01,295,16.0,405,93.86501392453448,5.1,72448.0,1300.0,0
253,Florida,Brevard,716.02,700,29.0,169,97.64921094304592,4.1,78779.0,1240.0,0
254,Florida,Brevard,717,1539,47.0,1755,93.13602359,3.0,115025.0,1287.0,0
255,Florida,Broward,101.02,723,5.0,332,76.74329711134166,0.6,130114.0,1747.0,0
256,Florida,Broward,101.03,892,33.0,574,0.0,3.6,80969.0,1734.0,0
257,Florida,Broward,101.04,576,25.0,1014,80.86878173974772,4.2,82500.0,1515.0,0
258,Florida,Broward,102.01,845,33.0,213,0.0,3.9,73767.0,1150.0,0
259,Florida,Broward,102.02,693,91.0,424,0.0,13.0,71719.0,1452.0,0
260,Florida,Broward,103.04,791,35.0,35,0.0,4.3,49421.0,1222.0,0
261,Florida,Broward,103.05,1284,410.0,208,87.54709769016547,31.9,40938.0,1404.0,1
262,Florida,Broward,103.06,596,49.0,196,72.42942172227377,8.2,63733.0,1138.0,0
263,Florida,Broward,103.07,1020,226.0,313,0.0,22.1,62147.0,1244.0,0
264,Florida,Broward,103.08,1226,52.0,632,0.0,4.2,135000.0,2017.0,0
265,Florida,Broward,104.01,1420,5.0,184,0.0,0.3,109722.0,2097.0,0
